family,metric,setting,scenario,pool,patient_id,eval_role,assignment_group,treatment,control,delta
generic_t140,negative_MSE_FP32,mean_8,U,mean,11436,selection,B,-0.3425964619964361,-0.34222509153187275,-0.00037137046456336975
generic_t140,negative_MSE_FP32,mean_8,U,mean,12018,selection,A,-0.28851729817688465,-0.2887048218399286,0.00018752366304397583
generic_t140,negative_MSE_FP32,mean_8,U,mean,12050,selection,A,-0.26976170018315315,-0.27031117118895054,0.0005494710057973862
generic_t140,negative_MSE_FP32,mean_8,U,mean,12097,selection,A,-0.273705679923296,-0.27457341365516186,0.0008677337318658829
generic_t140,negative_MSE_FP32,mean_8,U,mean,13567,selection,A,-0.29534444585442543,-0.29561082273721695,0.00026637688279151917
generic_t140,negative_MSE_FP32,mean_8,U,mean,14307,selection,A,-0.26234800834208727,-0.2626056345179677,0.00025762617588043213
generic_t140,negative_MSE_FP32,mean_8,U,mean,14362,selection,A,-0.266546375118196,-0.2671361267566681,0.0005897516384720802
generic_t140,negative_MSE_FP32,mean_8,U,mean,15492,selection,B,-0.26560261007398367,-0.2661330634728074,0.0005304533988237381
generic_t140,negative_MSE_FP32,mean_8,U,mean,15594,selection,A,-0.28395523875951767,-0.28480714187026024,0.000851903110742569
generic_t140,negative_MSE_FP32,mean_8,U,mean,16550,selection,B,-0.3191217463463545,-0.3190070018172264,-0.00011474452912807465
generic_t140,negative_MSE_FP32,mean_8,U,mean,16919,selection,B,-0.2648780634626746,-0.2654602313414216,0.0005821678787469864
generic_t140,negative_MSE_FP32,mean_8,U,mean,17927,selection,B,-0.27868811041116714,-0.2791499625891447,0.00046185217797756195
generic_t140,negative_MSE_FP32,mean_8,U,mean,18224,selection,A,-0.31133510544896126,-0.3116364497691393,0.0003013443201780319
generic_t140,negative_MSE_FP32,mean_8,U,mean,18614,selection,A,-0.2706618271768093,-0.27017520274966955,-0.00048662442713975906
generic_t140,negative_MSE_FP32,mean_8,U,mean,20106,selection,B,-0.2910565808415413,-0.29145398177206516,0.0003974009305238724
generic_t140,negative_MSE_FP32,mean_8,U,mean,21572,selection,A,-0.24847568664699793,-0.24876292888075113,0.00028724223375320435
generic_t140,negative_MSE_FP32,mean_8,U,mean,21970,selection,B,-0.28057321533560753,-0.28145325742661953,0.000880042091012001
generic_t140,negative_MSE_FP32,mean_8,U,mean,22835,selection,B,-0.2878789119422436,-0.28812164068222046,0.00024272873997688293
generic_t140,negative_MSE_FP32,mean_8,U,mean,25150,selection,A,-0.2980713974684477,-0.2985775042325258,0.0005061067640781403
generic_t140,negative_MSE_FP32,mean_8,U,mean,25514,selection,B,-0.27990602143108845,-0.28082747012376785,0.0009214486926794052
generic_t140,negative_MSE_FP32,mean_8,U,mean,25680,selection,B,-0.26630829833447933,-0.26684070751070976,0.0005324091762304306
generic_t140,negative_MSE_FP32,mean_8,U,mean,28655,selection,A,-0.28244425542652607,-0.28310307301580906,0.0006588175892829895
generic_t140,negative_MSE_FP32,mean_8,U,mean,29437,selection,A,-0.2763519883155823,-0.27667314000427723,0.0003211516886949539
generic_t140,negative_MSE_FP32,mean_8,E,mean,14393,fit,A,-0.2674379851669073,-0.2679673172533512,0.0005293320864439011
generic_t140,negative_MSE_FP32,mean_8,E,mean,172,selection,B,-0.33718543872237206,-0.33748212456703186,0.0002966858446598053
generic_t140,negative_MSE_FP32,mean_8,E,mean,359,selection,B,-0.2879632618278265,-0.2877465020865202,-0.00021675974130630493
generic_t140,negative_MSE_FP32,mean_8,E,mean,1052,selection,B,-0.2999714855104685,-0.30036377906799316,0.0003922935575246811
generic_t140,negative_MSE_FP32,mean_8,E,mean,1906,selection,A,-0.2862412575632334,-0.2866428568959236,0.00040159933269023895
generic_t140,negative_MSE_FP32,mean_8,E,mean,2032,selection,B,-0.30207325518131256,-0.3021882548928261,0.00011499971151351929
generic_t140,negative_MSE_FP32,mean_8,E,mean,2247,selection,B,-0.2634344305843115,-0.26410142332315445,0.0006669927388429642
generic_t140,negative_MSE_FP32,mean_8,E,mean,2359,selection,A,-0.3376087937504053,-0.33741625770926476,-0.00019253604114055634
generic_t140,negative_MSE_FP32,mean_8,E,mean,3308,selection,B,-0.24056073371320963,-0.24048008676618338,-8.064694702625275e-05
