arm,method,scenario,clean_primary,D_p_p,D_p_q,D_q_p,D_q_q,R_p,R_q,K,both_positive_arithmetic
leave_patient_out79_refit,cdi_image_max_fixed,U,True,0.02772733932954463,0.10284144345663904,0.0004832302005042255,0.019005210057225885,0.027244109129040406,-0.08383623339941315,-0.056592124270372746,False
leave_patient_out79_refit,cdi_image_max_tuned,U,False,0.009261442625645211,0.024175477039748317,-0.003723281807171297,-0.012499577017941021,0.012984724432816508,-0.03667505405768934,-0.02369032962487283,False
leave_patient_out79_refit,patient_mean26_fixed,U,True,0.006649255608356164,0.08752574719600914,-0.018853763050184602,0.016193595159121776,0.025503018658540766,-0.07133215203688736,-0.0458291333783466,False
leave_patient_out79_refit,patient_mean26_tuned,U,False,0.003430448126470864,0.00811788267211,-0.008723610244450675,-0.013565752226201488,0.012154058370921539,-0.021683634898311488,-0.009529576527389949,False
leave_patient_out79_refit,patient_meanmax52_fixed,U,True,0.05879570427977765,0.07370663330426519,-0.11369547593233387,0.10797663516047212,0.17249118021211152,0.03427000185620693,0.20676118206831845,True
leave_patient_out79_refit,patient_meanmax52_tuned,U,False,0.012817015546584876,0.013650925280093373,-0.017246988488785475,-0.0026316998217083,0.03006400403537035,-0.016282625101801673,0.013781378933568678,False
leave_patient_out79_refit,dl_mean,U,False,0.016222000122070312,-0.0085296630859375,-0.0230255126953125,-0.011911392211914062,0.03924751281738281,-0.0033817291259765625,0.03586578369140625,False
leave_patient_out79_refit,dl_max,U,False,0.0224456787109375,-0.000263214111328125,-0.041046142578125,0.000591278076171875,0.0634918212890625,0.0008544921875,0.0643463134765625,True
leave_patient_out79_refit,secmi_mean,U,False,0.0009561814367771149,0.000557933934032917,3.762543201446533e-05,-0.00011244602501392365,0.0009185560047626495,-0.0006703799590468407,0.00024817604571580887,False
leave_patient_out79_refit,secmi_max,U,False,-2.2679567337036133e-05,-0.0002670884132385254,3.911927342414856e-05,-0.00016694515943527222,-6.179884076118469e-05,0.00010014325380325317,3.834441304206848e-05,False
leave_patient_out79_refit,pia_mean,U,False,0.011321783065795898,0.006437420845031738,-0.0003223419189453125,-0.005208134651184082,0.011644124984741211,-0.01164555549621582,-1.430511474609375e-06,False
leave_patient_out79_refit,pia_max,U,False,-0.0012683868408203125,-0.0012390613555908203,-0.005089521408081055,-0.0172576904296875,0.003821134567260742,-0.01601862907409668,-0.012197494506835938,False
leave_patient_out79_refit,pian_mean,U,False,0.13434648513793945,0.044087886810302734,0.03487586975097656,0.0482182502746582,0.09947061538696289,0.004130363464355469,0.10360097885131836,True
leave_patient_out79_refit,pian_max,U,False,0.09192562103271484,0.04388141632080078,0.042285919189453125,0.017128944396972656,0.04963970184326172,-0.026752471923828125,0.022887229919433594,False
leave_patient_out79_refit,patient_meanmax54_noobjective_fixed,U,False,0.07291122880040768,0.016805097917859002,-0.10636569340615698,0.06784362057280507,0.17927692220656466,0.05103852265494607,0.23031544486151073,True
leave_patient_out79_refit,patient_meanmax54_noobjective_tuned,U,False,0.015950463842101414,0.007352532402041256,-0.017818313907529637,-0.008067226359221413,0.03376877774963105,-0.01541975876126267,0.018349018988368382,False
original_fit80_frozen_patient_seen,cdi_image_mean_fixed,E,False,0.014346907027876166,0.04498155650148339,-0.02936179696824004,-0.0432384383131188,0.043708703996116205,-0.08821999481460219,-0.04451129081848598,False
original_fit80_frozen_patient_seen,cdi_image_mean_tuned,E,False,0.007377670442460071,0.009369580619106532,-0.002246446166141114,0.0014575740395038617,0.009624116608601185,-0.00791200657960267,0.0017121100289985147,False
