contrast_type,model,contrast_id,role,a_method,a_fit_scenario,a_evaluation_scenario,b_method,b_fit_scenario,b_evaluation_scenario,selection_delta_AUC,paired_CI95_low,paired_CI95_high
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,cdi_image_max_tuned,E,U,cdi_image_max_tuned,E,E,-0.12499999999999994,-0.3875,0.15249999999999997
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,cdi_image_max_tuned,U,U,cdi_image_max_tuned,E,U,-0.044999999999999984,-0.27249999999999996,0.1675624999999996
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,cdi_image_max_tuned,E,E,cdi_image_max_tuned,U,E,0.04999999999999993,-0.1925,0.28250000000000003
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_mean26_fixed,E,U,patient_mean26_fixed,E,E,-0.029999999999999916,-0.3000625,0.2500624999999997
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,patient_mean26_fixed,U,U,patient_mean26_fixed,E,U,-0.04999999999999999,-0.2925,0.1725
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,patient_mean26_fixed,E,E,patient_mean26_fixed,U,E,-0.10999999999999999,-0.39256250000000004,0.16506249999999964
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_mean26_tuned,E,U,patient_mean26_tuned,E,E,-0.18500000000000005,-0.42756250000000007,0.06756249999999966
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,patient_mean26_tuned,U,U,patient_mean26_tuned,E,U,0.027500000000000024,-0.1825,0.22999999999999998
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,patient_mean26_tuned,E,E,patient_mean26_tuned,U,E,0.04500000000000004,-0.185,0.27506249999999965
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_meanmax52_fixed,E,U,patient_meanmax52_fixed,E,E,-0.06,-0.32749999999999996,0.235
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,patient_meanmax52_fixed,U,U,patient_meanmax52_fixed,E,U,0.21499999999999997,-0.05499999999999994,0.4625
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,patient_meanmax52_fixed,E,E,patient_meanmax52_fixed,U,E,-0.027500000000000024,-0.3075625,0.26499999999999996
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_meanmax52_tuned,E,U,patient_meanmax52_tuned,E,E,-0.10000000000000009,-0.3500625,0.15999999999999998
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,patient_meanmax52_tuned,U,U,patient_meanmax52_tuned,E,U,0.10000000000000009,-0.15256250000000002,0.33
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,patient_meanmax52_tuned,E,E,patient_meanmax52_tuned,U,E,-0.04249999999999998,-0.3000625,0.22999999999999998
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,dl_mean,E,U,dl_mean,E,E,0.052499999999999936,-0.09249999999999997,0.20256249999999967
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,dl_mean,U,U,dl_mean,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,dl_mean,E,E,dl_mean,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,dl_max,E,U,dl_max,E,E,0.10249999999999998,-0.04749999999999993,0.2525624999999997
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,dl_max,U,U,dl_max,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,dl_max,E,E,dl_max,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,secmi_mean,E,U,secmi_mean,E,E,-0.09249999999999992,-0.32999999999999996,0.1325
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,secmi_mean,U,U,secmi_mean,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,secmi_mean,E,E,secmi_mean,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,secmi_max,E,U,secmi_max,E,E,-0.030000000000000138,-0.26,0.1750624999999997
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,secmi_max,U,U,secmi_max,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,secmi_max,E,E,secmi_max,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,pia_mean,E,U,pia_mean,E,E,0.034999999999999976,-0.13,0.19999999999999996
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,pia_mean,U,U,pia_mean,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,pia_mean,E,E,pia_mean,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,pia_max,E,U,pia_max,E,E,0.0,-0.16749999999999998,0.16500000000000004
