family,method,budget,clipped_mse,mc_se,actual_mean_cost,cost_mc_se,calibration_mean_cost
F6_correlated_plane_outside,matched_fixed_for_raw_B4,4,0.007947387917059557,8.092349534097334e-05,4.0,0.0,4.0
F6_correlated_plane_outside,geometry_B4,4,0.021553049083902747,0.00024426827286687283,4.047149658203125,0.013729710911302173,4.0
F6_correlated_plane_outside,matched_fixed_for_geometry_B4,4,0.007947387917059557,8.092349534097334e-05,4.0,0.0,4.0
F6_correlated_plane_outside,oracle_free_B4,4,0.006597011728261245,6.870504166284373e-05,3.9833984375,0.007811661713546299,4.0
F6_correlated_plane_outside,oracle_charged_B4,4,0.013777518592108799,0.0001563319004433737,4.00299072265625,0.003906299333692205,4.0
F6_correlated_plane_outside,raw_B8,8,0.010229363699833623,0.00015040079478676694,7.981597900390625,0.024859809246854908,7.999755859375
F6_correlated_plane_outside,matched_fixed_for_raw_B8,8,0.004057795383069254,4.263806407938304e-05,7.9998779296875,0.0001220703125,7.999755859375
F6_correlated_plane_outside,geometry_B8,8,0.008652857823087737,0.00013925663698264462,8.065093994140625,0.028244238483407683,7.99993896484375
F6_correlated_plane_outside,matched_fixed_for_geometry_B8,8,0.004057795950035544,4.263806027039585e-05,7.9998779296875,0.0001220703125,7.99993896484375
F6_correlated_plane_outside,oracle_free_B8,8,0.003254938514709202,3.331481194286302e-05,7.998779296875,0.01353756163625773,8.0
F6_correlated_plane_outside,oracle_charged_B8,8,0.004244315659991418,4.327378515228661e-05,8.004150390625,0.013550729289167656,8.0
F6_correlated_plane_outside,raw_B16,16,0.0030925657712860145,5.1109558691136724e-05,15.951568603515625,0.02313768558441251,16.0
F6_correlated_plane_outside,matched_fixed_for_raw_B16,16,0.0020524821087191105,2.139899522749029e-05,16.0,0.0,16.0
F6_correlated_plane_outside,geometry_B16,16,0.0026640737633254682,4.3966785820720065e-05,16.014434814453125,0.022796557376287913,15.99957275390625
F6_correlated_plane_outside,matched_fixed_for_geometry_B16,16,0.00205260417895978,2.1399494746606032e-05,15.999755859375,0.000244140625,15.99957275390625
F6_correlated_plane_outside,oracle_free_B16,16,0.0020524821087191105,2.139899522749029e-05,16.0,0.0,16.0
F6_correlated_plane_outside,oracle_charged_B16,16,0.00209678044147226,2.1452224398277006e-05,15.97314453125,0.015624068127100398,16.0
F7_large_noise_high_dimension,fixed_R1,,1.1080102943343104,0.0007438178026001619,1.0,0.0,1
F7_large_noise_high_dimension,fixed_R2,,0.845649659909746,0.0006016185784289501,2.0,0.0,2
F7_large_noise_high_dimension,fixed_R4,,0.5853274726884831,0.00042458102813520987,4.0,0.0,4
F7_large_noise_high_dimension,fixed_R8,,0.36607520627945395,0.0002659124464976678,8.0,0.0,8
F7_large_noise_high_dimension,fixed_R16,,0.2100739698780964,0.00015192355279070762,16.0,0.0,16
F7_large_noise_high_dimension,raw_B4,4,0.8455448520281599,0.0006023180161604321,4.0008544921875,0.00022828201778419733,4.0
F7_large_noise_high_dimension,matched_fixed_for_raw_B4,4,0.5853274726884831,0.00042458102813520987,4.0,0.0,4.0
F7_large_noise_high_dimension,geometry_B4,4,0.8455448520281599,0.0006023180161604321,4.0008544921875,0.00022828201778419733,4.0
F7_large_noise_high_dimension,matched_fixed_for_geometry_B4,4,0.5853274726884831,0.00042458102813520987,4.0,0.0,4.0
F7_large_noise_high_dimension,oracle_free_B4,4,0.5853274726884831,0.00042458102813520987,4.0,0.0,4.0
F7_large_noise_high_dimension,oracle_charged_B4,4,0.845649659909746,0.0006016185784289501,4.0,0.0,4.0
F7_large_noise_high_dimension,raw_B8,8,0.4784269056892254,0.0006990223259187622,7.9481201171875,0.011047515316316477,8.0
F7_large_noise_high_dimension,matched_fixed_for_raw_B8,8,0.36607520627945395,0.0002659124464976678,8.0,0.0,8.0
F7_large_noise_high_dimension,geometry_B8,8,0.4784269056892254,0.0006990223259187622,7.9481201171875,0.011047515316316477,8.0
F7_large_noise_high_dimension,matched_fixed_for_geometry_B8,8,0.36607520627945395,0.0002659124464976678,8.0,0.0,8.0
F7_large_noise_high_dimension,oracle_free_B8,8,0.36607520627945395,0.0002659124464976678,8.0,0.0,8.0
F7_large_noise_high_dimension,oracle_charged_B8,8,0.4758400627077898,0.0003545766046179092,8.0,0.0,8.0
F7_large_noise_high_dimension,raw_B16,16,0.25007668080728473,0.00042059214971290214,15.946533203125,0.019355681119583436,16.0
F7_large_noise_high_dimension,matched_fixed_for_raw_B16,16,0.2100739698780964,0.00015192355279070762,16.0,0.0,16.0
F7_large_noise_high_dimension,geometry_B16,16,0.25007668080728473,0.00042059214971290214,15.946533203125,0.019355681119583436,16.0
F7_large_noise_high_dimension,matched_fixed_for_geometry_B16,16,0.2100739698780964,0.00015192355279070762,16.0,0.0,16.0
F7_large_noise_high_dimension,oracle_free_B16,16,0.2100739698780964,0.00015192355279070762,16.0,0.0,16.0
F7_large_noise_high_dimension,oracle_charged_B16,16,0.2492832059235206,0.00035669251591053617,15.985595703125,0.01562507159962898,16.0
