prompt_id,seed,score,best_rotation_deg,best_crop_box,bit_flip_applied,runtime_sec
8,800001,1.631639,0.000,"[0, 0, 512, 512]",false,0.904
8,800002,0.154869,0.000,"[0, 0, 512, 512]",false,0.904
8,800003,0.426239,0.000,"[0, 0, 512, 512]",false,0.904
8,800004,0.773566,0.000,"[0, 0, 512, 512]",false,0.904
8,800005,0.584316,0.000,"[0, 0, 512, 512]",false,0.904
8,800006,0.143282,0.000,"[0, 0, 512, 512]",false,0.904
8,800007,0.059272,0.000,"[0, 0, 512, 512]",false,0.904
8,800008,0.850398,0.000,"[0, 0, 512, 512]",false,0.906
8,800009,0.143199,0.000,"[0, 0, 512, 512]",false,0.905
8,800010,0.587819,0.000,"[0, 0, 512, 512]",false,0.903
8,800011,0.149495,0.000,"[0, 0, 512, 512]",false,0.905
8,800012,0.186406,0.000,"[0, 0, 512, 512]",false,0.905
8,800013,0.785966,0.000,"[0, 0, 512, 512]",false,0.905
8,800014,0.637402,0.000,"[0, 0, 512, 512]",false,0.905
8,800015,0.254444,0.000,"[0, 0, 512, 512]",false,0.905
8,800016,0.952280,0.000,"[0, 0, 512, 512]",false,0.904
8,800017,0.394898,0.000,"[0, 0, 512, 512]",false,0.906
8,800018,2.134060,0.000,"[0, 0, 512, 512]",false,0.904
8,800019,0.694679,0.000,"[0, 0, 512, 512]",false,0.904
9,900000,1.321047,0.000,"[0, 0, 512, 512]",false,0.904
9,900001,0.442934,0.000,"[0, 0, 512, 512]",false,0.904
9,900002,0.579953,0.000,"[0, 0, 512, 512]",false,0.903
9,900003,1.589802,0.000,"[0, 0, 512, 512]",false,0.904
9,900004,0.328454,0.000,"[0, 0, 512, 512]",false,0.904
9,900005,0.825245,0.000,"[0, 0, 512, 512]",false,0.903
9,900006,0.797012,0.000,"[0, 0, 512, 512]",false,0.905
9,900007,1.148375,0.000,"[0, 0, 512, 512]",false,0.904
9,900008,0.592281,0.000,"[0, 0, 512, 512]",false,0.905
9,900009,0.198278,0.000,"[0, 0, 512, 512]",false,0.902
9,900010,0.994487,0.000,"[0, 0, 512, 512]",false,0.904
9,900011,0.631226,0.000,"[0, 0, 512, 512]",false,0.905
9,900012,0.078070,0.000,"[0, 0, 512, 512]",false,0.904
9,900013,1.667018,0.000,"[0, 0, 512, 512]",false,0.904
9,900014,0.658122,0.000,"[0, 0, 512, 512]",false,0.904
9,900015,0.209157,0.000,"[0, 0, 512, 512]",false,0.903
9,900016,0.437768,0.000,"[0, 0, 512, 512]",false,0.905
9,900017,0.321042,0.000,"[0, 0, 512, 512]",false,0.904
9,900018,0.097561,0.000,"[0, 0, 512, 512]",false,0.905
9,900019,1.004447,0.000,"[0, 0, 512, 512]",false,0.904
10,1000000,0.219918,0.000,"[0, 0, 512, 512]",false,0.906
10,1000001,1.714638,0.000,"[0, 0, 512, 512]",false,0.905
10,1000002,1.116284,0.000,"[0, 0, 512, 512]",false,0.905
10,1000003,1.439640,0.000,"[0, 0, 512, 512]",false,0.905
10,1000004,1.659158,0.000,"[0, 0, 512, 512]",false,0.905
10,1000005,0.224175,0.000,"[0, 0, 512, 512]",false,0.905
10,1000006,1.066756,0.000,"[0, 0, 512, 512]",false,0.906
10,1000007,0.247745,0.000,"[0, 0, 512, 512]",false,0.905
10,1000008,0.648811,0.000,"[0, 0, 512, 512]",false,0.905
10,1000009,0.622940,0.000,"[0, 0, 512, 512]",false,0.906
10,1000010,0.309568,0.000,"[0, 0, 512, 512]",false,0.907
10,1000011,0.687896,0.000,"[0, 0, 512, 512]",false,0.905
10,1000012,2.817636,0.000,"[0, 0, 512, 512]",false,0.905
10,1000013,0.819064,0.000,"[0, 0, 512, 512]",false,0.906
10,1000014,0.965964,0.000,"[0, 0, 512, 512]",false,0.905
10,1000015,1.558151,0.000,"[0, 0, 512, 512]",false,0.906
10,1000016,0.049018,0.000,"[0, 0, 512, 512]",false,0.906
