prompt_id,seed,score,best_rotation_deg,best_crop_box,bit_flip_applied,runtime_sec
6,600003,2.263005,0.000,"[0, 0, 512, 512]",false,9.070
6,600004,0.387553,0.000,"[0, 0, 512, 512]",false,9.054
6,600005,0.524775,0.000,"[0, 0, 512, 512]",false,9.044
6,600006,1.122118,0.000,"[0, 0, 512, 512]",false,9.045
6,600007,1.236849,0.000,"[0, 0, 512, 512]",false,9.038
6,600008,0.309551,0.000,"[0, 0, 512, 512]",false,9.037
6,600009,0.832341,0.000,"[0, 0, 512, 512]",false,9.043
6,600010,0.960573,0.000,"[0, 0, 512, 512]",false,9.040
6,600011,0.483086,0.000,"[0, 0, 512, 512]",false,9.043
6,600012,0.030669,0.000,"[0, 0, 512, 512]",false,9.042
6,600013,1.759737,0.000,"[0, 0, 512, 512]",false,9.036
6,600014,0.602847,0.000,"[0, 0, 512, 512]",false,9.043
6,600015,1.113562,0.000,"[0, 0, 512, 512]",false,9.049
6,600016,0.756504,0.000,"[0, 0, 512, 512]",false,9.057
6,600017,0.208277,0.000,"[0, 0, 512, 512]",false,9.040
6,600018,1.301950,0.000,"[0, 0, 512, 512]",false,9.055
6,600019,0.237541,0.000,"[0, 0, 512, 512]",false,9.055
7,700000,0.029462,0.000,"[0, 0, 512, 512]",false,9.054
7,700001,0.644302,0.000,"[0, 0, 512, 512]",false,9.068
7,700002,0.692346,0.000,"[0, 0, 512, 512]",false,9.086
7,700003,0.481945,0.000,"[0, 0, 512, 512]",false,9.081
7,700004,0.917667,0.000,"[0, 0, 512, 512]",false,9.080
7,700005,1.095932,0.000,"[0, 0, 512, 512]",false,9.091
7,700006,0.816409,0.000,"[0, 0, 512, 512]",false,9.081
